user_id,genre,genre_count
943,Action,64
943,Drama,57
943,Comedy,56
943,Adventure,35
943,Thriller,35
943,Romance,33
943,Sci-Fi,22
943,Crime,18
943,War,15
943,Horror,14
943,Western,9
943,Children's,9
943,Musical,4
943,Mystery,3
943,Animation,2
943,Fantasy,2
942,Drama,31
942,Comedy,22
942,Thriller,20
942,Action,18
942,Romance,17
942,Children's,13
942,Adventure,11
942,War,10
942,Mystery,9
942,Sci-Fi,6
942,Musical,5
942,Animation,4
942,Western,3
942,Horror,3
942,Fantasy,2
942,Film-Noir,1
940,Drama,48
940,Comedy,42
940,Romance,24
940,Action,23
940,Thriller,20
940,Sci-Fi,19
940,War,15
940,Adventure,12
940,Crime,7
940,Musical,7
940,Children's,5
940,Horror,4
940,Film-Noir,3
940,Mystery,3
940,Animation,2
938,Comedy,40
938,Action,35
938,Drama,32
938,Thriller,32
938,Romance,21
938,Adventure,17
938,Sci-Fi,15
938,Children's,11
938,War,8
938,Crime,6
938,Mystery,5
938,Animation,5
938,Horror,4
938,Musical,4
938,Fantasy,2
938,Western,1
938,Film-Noir,1
936,Drama,68
936,Comedy,48
936,Romance,31
936,Thriller,28
936,Action,27
936,Sci-Fi,14
936,Crime,13
936,Adventure,13
936,Mystery,7
936,War,5
936,Children's,4
936,Horror,3
936,Musical,3
936,Documentary,2
936,Animation,1
934,Drama,68
934,Comedy,63
934,Action,38
934,Romance,36
934,Sci-Fi,27
934,Adventure,25
934,Thriller,21
934,Musical,19
934,War,15
934,Children's,15
934,Crime,9
934,Mystery,8
934,Horror,7
934,Animation,6
934,Western,5
934,Film-Noir,4
934,Fantasy,4
934,Documentary,2
933,Comedy,71
933,Action,71
933,Drama,54
933,Sci-Fi,34
933,Thriller,33
933,Adventure,30
933,Romance,23
933,War,20
933,Crime,18
933,Horror,15
933,Western,9
933,Musical,9
933,Children's,6
933,Mystery,4
933,Film-Noir,3
933,Animation,2
933,Fantasy,2
932,Drama,92
932,Comedy,64
932,Action,48
932,Adventure,39
932,Thriller,37
932,Romance,35
932,Sci-Fi,32
932,War,24
932,Horror,16
932,Mystery,15
932,Children's,11
932,Western,11
932,Crime,10
932,Film-Noir,8
932,Musical,7
932,Animation,7
932,Documentary,4
932,Fantasy,3
931,Drama,35
931,Action,16
931,Romance,14
931,Comedy,13
931,Thriller,13
931,War,10
931,Sci-Fi,9
931,Adventure,6
931,Crime,5
931,Mystery,3
931,Film-Noir,1
931,Documentary,1
931,Musical,1
931,Children's,1
930,Comedy,25
930,Drama,24
930,Action,18
930,Romance,15
930,Thriller,10
930,War,9
930,Adventure,9
930,Sci-Fi,8
930,Children's,3
930,Animation,2
930,Musical,2
930,Crime,2
930,Mystery,1
930,Horror,1
930,Fantasy,1
927,Comedy,57
927,Action,34
927,Children's,27
927,Adventure,25
927,Romance,24
927,Drama,21
927,Sci-Fi,20
927,Thriller,19
927,Animation,14
927,Musical,11
927,Crime,6
927,Fantasy,5
927,War,4
927,Horror,3
927,Mystery,3
924,Drama,41
924,Action,22
924,Romance,19
924,Thriller,18
924,Comedy,15
924,Adventure,13
924,Sci-Fi,11
924,War,11
924,Crime,10
924,Animation,4
924,Musical,3
924,Children's,2
924,Horror,2
924,Mystery,1
924,Western,1
924,Documentary,1
924,Fantasy,1
923,Thriller,26
923,Drama,25
923,Action,25
923,Comedy,18
923,Adventure,13
923,Crime,12
923,Romance,12
923,Sci-Fi,9
923,Mystery,6
923,War,4
923,Horror,3
923,Children's,2
923,Fantasy,2
923,Film-Noir,1
923,Animation,1
922,Comedy,47
922,Action,45
922,Drama,31
922,Sci-Fi,31
922,Adventure,29
922,Romance,28
922,Thriller,19
922,Musical,14
922,War,13
922,Children's,12
922,Horror,10
922,Animation,8
922,Crime,7
922,Mystery,3
922,Western,2
922,Fantasy,2
922,Film-Noir,1
921,Comedy,42
921,Action,34
921,Drama,33
921,Adventure,32
921,Romance,27
921,Children's,20
921,Sci-Fi,19
921,Thriller,15
921,War,10
921,Fantasy,7
921,Mystery,6
921,Animation,6
921,Musical,5
921,Crime,4
921,Horror,2
921,Film-Noir,1
921,Western,1
919,Drama,108
919,Comedy,61
919,Thriller,51
919,Romance,46
919,Action,38
919,Children's,24
919,Adventure,22
919,Sci-Fi,21
919,War,15
919,Mystery,14
919,Crime,14
919,Horror,12
919,Musical,11
919,Animation,9
919,Fantasy,5
919,Film-Noir,1
919,Documentary,1
918,Drama,54
918,Comedy,40
918,Romance,28
918,War,11
918,Musical,7
918,Action,7
918,Adventure,7
918,Sci-Fi,6
918,Children's,6
918,Thriller,5
918,Mystery,4
918,Film-Noir,3
918,Crime,2
918,Documentary,2
918,Horror,2
918,Animation,1
918,Fantasy,1
916,Drama,134
916,Comedy,95
916,Action,86
916,Thriller,74
916,Romance,64
916,Adventure,46
916,Sci-Fi,43
916,War,31
916,Crime,24
916,Horror,12
916,Musical,12
916,Children's,9
916,Western,8
916,Mystery,8
916,Fantasy,6
916,Animation,5
916,Film-Noir,3
916,Documentary,1
913,Drama,53
913,Comedy,35
913,Action,32
913,Thriller,28
913,Sci-Fi,27
913,Romance,21
913,Adventure,20
913,War,14
913,Children's,13
913,Musical,12
913,Animation,11
913,Crime,11
913,Horror,8
913,Film-Noir,4
913,Mystery,4
913,Fantasy,1
913,Western,1
912,Drama,22
912,Comedy,16
912,Romance,13
912,Adventure,8
912,Musical,8
912,Sci-Fi,6
912,Thriller,6
912,War,6
912,Action,6
912,Children's,5
912,Crime,5
912,Mystery,4
912,Horror,3
912,Western,3
912,Film-Noir,3
912,Animation,2
912,Fantasy,1
911,Comedy,35
911,Drama,32
911,Children's,21
911,Romance,19
911,Musical,16
911,Adventure,16
911,Action,16
911,Animation,11
911,Thriller,10
911,Sci-Fi,10
911,War,9
911,Mystery,6
911,Horror,4
911,Fantasy,2
911,Crime,2
911,Western,2
911,Film-Noir,2
910,Drama,27
910,Action,27
910,Thriller,24
910,Adventure,13
910,Crime,12
910,Sci-Fi,10
910,Romance,9
910,Comedy,7
910,War,6
910,Mystery,4
910,Horror,3
910,Musical,1
910,Children's,1
910,Animation,1
908,Drama,29
908,Thriller,25
908,Comedy,20
908,Romance,17
908,Action,16
908,Sci-Fi,11
908,War,11
908,Crime,8
908,Mystery,7
908,Adventure,6
908,Horror,6
908,Film-Noir,5
908,Children's,3
908,Musical,2
908,Fantasy,2
908,Documentary,1
907,Drama,70
907,Comedy,45
907,Romance,40
907,Thriller,32
907,Action,27
907,War,15
907,Adventure,15
907,Sci-Fi,10
907,Mystery,9
907,Crime,9
907,Children's,7
907,Horror,5
907,Musical,4
907,Animation,3
907,Documentary,1
907,Fantasy,1
907,Western,1
903,Drama,67
903,Comedy,35
903,Thriller,29
903,Action,25
903,Crime,20
903,War,14
903,Romance,13
903,Sci-Fi,12
903,Adventure,10
903,Mystery,7
903,Horror,6
903,Musical,3
903,Film-Noir,3
903,Children's,3
903,Animation,3
903,Western,2
903,Documentary,2
903,Fantasy,1
901,Comedy,56
901,Action,37
901,Adventure,30
901,Drama,28
901,Romance,27
901,Sci-Fi,25
901,Children's,24
901,Thriller,17
901,War,13
901,Musical,7
901,Crime,4
901,Horror,4
901,Animation,3
901,Mystery,3
901,Fantasy,2
901,Western,2
901,Film-Noir,1
899,Drama,48
899,Action,48
899,Comedy,40
899,Romance,32
899,Thriller,30
899,Adventure,25
899,Sci-Fi,21
899,War,20
899,Children's,7
899,Mystery,6
899,Musical,6
899,Western,6
